ReviewNo,JJP,RBP,JJN,RBN,Polarity,New_sentiment,WordCount,Sentiment
161,4,1,6,1,0.261706349,pos,117,Positive
162,0,0,5,0,-2.666666667,neg,33,Negative
163,5,3,3,0,2.154336219,pos,300,Positive
164,6,3,3,1,2.488571429,pos,228,Positive
165,1,0,1,0,-0.183333333,neg,38,Neutral
166,3,2,3,0,0.007638889,pos,71,Neutral
167,1,1,11,0,-2.204315476,neg,122,Negative
168,3,2,1,0,0.081666667,pos,55,Neutral
169,3,3,6,1,0.478235229,pos,191,Positive
170,0,5,3,0,-0.967113095,neg,141,Negative
171,2,1,1,0,0.537003968,pos,90,Positive
172,11,4,2,1,3.193799603,pos,331,Positive
173,6,2,1,0,1.857259407,pos,223,Positive
174,3,1,6,2,-2.175677083,neg,145,Negative
175,0,2,9,0,-1.594940476,neg,166,Negative
176,4,1,3,1,2.234126984,pos,132,Positive
177,4,1,23,5,0.550535084,pos,446,Positive
178,8,7,4,0,2.457202381,pos,120,Positive
179,0,0,5,0,-0.515595238,neg,127,Negative
180,3,0,1,0,1.111111111,pos,73,Positive
181,2,1,2,0,0.163792735,pos,72,Neutral
182,10,3,9,4,1.29104656,pos,298,Positive
183,4,2,3,0,-1.676785714,neg,159,Negative
184,2,1,1,0,0.233611111,pos,36,Positive
185,3,0,5,0,0.025119048,pos,161,Neutral
186,7,4,7,1,3.161497578,pos,308,Positive
187,1,0,4,0,0.164285714,pos,56,Neutral
188,6,2,3,2,1.654960317,pos,114,Positive
189,6,1,11,4,-0.732142857,neg,268,Negative
190,4,2,5,0,1.7,pos,181,Positive
191,14,3,18,1,2.589969336,pos,425,Positive
192,3,0,1,1,0.268551587,pos,59,Positive
193,1,1,0,0,0.8875,pos,30,Positive
194,0,0,1,1,-0.411865079,neg,66,Negative
195,2,0,4,0,0.104833333,pos,102,Neutral
196,6,2,6,0,1.004404762,pos,115,Positive
197,3,2,5,0,0.178571429,pos,103,Neutral
198,7,1,4,2,2.336994048,pos,282,Positive
199,1,0,1,0,0.689583333,pos,69,Positive
200,1,0,0,0,1.183333333,pos,61,Positive
201,2,6,0,1,1.233333333,pos,131,Positive
202,9,2,7,3,3.723055556,pos,192,Positive
203,3,0,0,0,1.713095238,pos,36,Positive
204,1,0,5,0,-0.65,neg,93,Negative
205,3,0,0,0,1.526515152,pos,61,Positive
206,2,1,3,1,0.364583333,pos,62,Positive
207,4,1,3,3,-0.526515152,neg,76,Negative
208,1,0,1,0,-0.129603175,neg,81,Neutral
209,1,1,2,1,0.6375,pos,40,Positive
210,16,12,4,1,1.428452381,pos,305,Positive
211,1,0,3,0,-1.466666667,neg,31,Negative
